<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
COM,20221021,33.4,33.6,33.4,33.4,1800
CPDR2204,20221021,0.11,0.12,0.11,0.12,111400
CPDR2205,20221021,0.31,0.37,0.31,0.37,2700
CPNJ2203,20221021,0.38,0.38,0.26,0.26,56400
CPNJ2205,20221021,0.22,0.22,0.15,0.16,54400
CPOW2202,20221021,0.02,0.02,0.01,0.01,345900
CPOW2204,20221021,0.22,0.27,0.2,0.22,1174900
CPOW2205,20221021,0.31,0.32,0.22,0.23,179500
CPOW2206,20221021,0.1,0.14,0.1,0.14,6200
CPOW2207,20221021,0.08,0.09,0.07,0.07,336500
CPOW2208,20221021,0.17,0.18,0.17,0.17,11400
CPOW2209,20221021,0.2,0.24,0.18,0.2,1132700
CRC,20221021,5.5,5.5,5.15,5.2,67300
CRE,20221021,13.35,13.35,12.65,12.85,171400
CSM,20221021,14.9,14.95,14.6,14.7,3000
CSTB2210,20221021,0.01,0.01,0.01,0.01,22500
CSTB2211,20221021,0.08,0.09,0.05,0.08,106200
CSTB2212,20221021,0.01,0.01,0.01,0.01,5900
CSTB2213,20221021,0.05,0.05,0.04,0.04,494600
CSTB2214,20221021,0.29,0.4,0.22,0.22,110000
CSTB2215,20221021,0.31,0.32,0.24,0.24,937500
CSTB2216,20221021,0.02,0.04,0.02,0.03,7900
CSTB2217,20221021,0.06,0.06,0.04,0.05,364600
CSTB2218,20221021,0.16,0.16,0.09,0.09,3883800
CSTB2220,20221021,0.21,0.25,0.16,0.17,1634600
CSV,20221021,38.65,40.1,36.2,37.7,926400
CTCB2206,20221021,0.01,0.01,0.01,0.01,200
CTCB2207,20221021,0.09,0.09,0.05,0.09,34800
CTCB2208,20221021,0.1,0.1,0.06,0.06,380700
CTCB2209,20221021,0.36,0.36,0.21,0.21,309700
CTCB2210,20221021,0.04,0.04,0.03,0.04,791100
CTCB2211,20221021,0.09,0.09,0.06,0.08,792500
CTCB2212,20221021,0.27,0.27,0.21,0.22,1745300
CTCB2213,20221021,0.11,0.13,0.1,0.13,191100
CTD,20221021,46.9,46.9,43.3,43.3,720000
CTF,20221021,24.8,24.85,24.5,24.55,729600
CTG,20221021,23.25,23.25,21.65,21.65,6658600
CTI,20221021,11.9,11.9,11.15,11.2,284500
CTPB2203,20221021,0.01,0.03,0.01,0.01,462900
CTPB2204,20221021,0.21,0.24,0.17,0.23,83600
CTPB2205,20221021,0.06,0.06,0.04,0.04,694300
CTPB2206,20221021,0.14,0.14,0.07,0.1,1234700
CTR,20221021,59.5,60,55.8,55.8,505300
CTS,20221021,13.2,13.2,12.25,12.25,637600
CVHM2208,20221021,0.01,0.01,0.01,0.01,385700
CVHM2209,20221021,0.05,0.05,0.03,0.03,238200
CVHM2210,20221021,0.03,0.03,0.02,0.02,173400
CVHM2211,20221021,0.24,0.24,0.17,0.17,14100
CVHM2212,20221021,0.33,0.33,0.24,0.24,71800
CVHM2213,20221021,0.15,0.15,0.1,0.11,1314600
CVHM2214,20221021,0.43,0.43,0.23,0.25,64000
CVHM2215,20221021,0.65,0.65,0.47,0.49,843800
CVHM2216,20221021,0.8,0.8,0.65,0.65,64200
CVJC2203,20221021,0.14,0.14,0.11,0.13,291900
CVJC2206,20221021,0.32,0.32,0.32,0.32,100
CVNM2207,20221021,0.91,1.15,0.91,1.12,2300
CVNM2208,20221021,0.8,0.8,0.8,0.8,100
CVNM2209,20221021,0.73,0.76,0.73,0.76,150300
CVNM2210,20221021,2.62,2.62,2.53,2.53,6300
CVPB2204,20221021,0.12,0.12,0.03,0.03,7800
CVPB2207,20221021,0.15,0.16,0.11,0.16,81400
CVPB2208,20221021,0.27,0.27,0.15,0.17,1031500
CVPB2209,20221021,0.13,0.13,0.1,0.1,327300
CVPB2210,20221021,0.11,0.12,0.07,0.09,975800
CVPB2211,20221021,0.39,0.39,0.27,0.31,70700
CVPB2212,20221021,0.41,0.42,0.35,0.35,269700
CVPB2213,20221021,0.68,0.75,0.56,0.56,2018600
CVRE2208,20221021,0.01,0.02,0.01,0.01,53400
CVRE2209,20221021,0.09,0.09,0.07,0.07,99900
CVRE2210,20221021,0.21,0.22,0.19,0.19,382700
CVRE2211,20221021,0.31,0.32,0.25,0.27,443400
CVRE2212,20221021,0.16,0.18,0.1,0.13,248600
CVRE2214,20221021,0.55,0.55,0.4,0.4,51300
CVRE2215,20221021,1.02,1.02,0.82,0.83,55200
CVRE2216,20221021,0.86,0.86,0.74,0.74,81400
CVRE2217,20221021,1.12,1.34,1,1,39800
